,hbPhotoExist,originBookCode,author,isbn,publishDate,discountPrice,bookDiscount,bookName,executiveEditor,bookId,picPath,price,stockInDate,sumVolume,shopType
245,N,136697,张慧锋 主编,978-7-115-36697-9,202102,29.60,0.8,客户关系管理实务(第2版)(工业和信息化高职高专“十二五”规划教材立项项目),刘琦,681f8c1f-0cb5-424c-8eb5-6017f46a7f32,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-36697-9/72jpg/36697_s300.jpg,37,20141110,21648,1
246,N,156475,叶武滨,978-7-115-56475-7,202108,55.84,0.8,追梦成长 用梦想成就自己和世界,蒋艳,b229bae3-d957-40c1-935e-b1bea6d862a9,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-56475-7/72jpg/56475_s300.jpg,69.8,20210719,21644,1
247,N,1536199,[日]稻盛和夫,978-7-115-53619-8,202108,47.20,0.8,心：稻盛和夫的一生嘱托（定制版）,张渝涓,7530e684-aa71-41d0-9a65-5f394281cd49,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-53619-8/72jpg/53619.jpg,59,20200521,21602,1
248,N,140043,白东蕊,978-7-115-40043-7,201808,31.84,0.8,电子商务基础,万国清,7c037efe-2b03-409f-8a16-3a13cb8b8fbb,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-40043-7/72jpg/40043_s300.jpg,39.8,20150901,21551,1
249,N,151377,徐亚文,978-7-115-51377-9,202107,33.60,0.8,企业经营沙盘推演,刘向荣,3ba5c322-a48a-4305-8af1-c2e582e43269,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-51377-9/72jpg/51377_s300.jpg,42,20191014,21494,1
250,N,1511479,刘主编,978-7-115-51147-8,202109,39.84,0.8,高效阅读  培养终身受用的阅读力(签名版),牟桂玲,750e1780-cf8a-404e-a54b-79c34d3a80a1,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-51147-8/72jpg/51147_s300.jpg,49.8,20201222,21490,1
251,Y,137286,[美]威廉·D.江恩(William D.Gann) 著,978-7-115-37286-4,202109,28.00,0.8,江恩股市操盘术(专业解读版),付微微,951f50db-a2a1-4a23-8478-afb01f045fd6,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-37286-4/72jpg/37286_s300.jpg,35,20141114,21479,1
252,N,140086,雷玉华,978-7-115-40086-4,202002,31.84,0.8,银行柜员基本技能（第2版）,朱海昀,5b261c0b-c5c5-42bd-a401-35004d10ae3e,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-40086-4/72jpg/40086_s300.jpg,39.8,20160129,21474,1
253,N,147922,苏航,978-7-115-47922-8,202107,39.84,0.8,文案创作与活动策划从入门到精通,马霞,a915d272-84e8-4ed8-bf1c-bcae7af36adc,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-47922-8/72jpg/47922_s300.jpg,49.8,20180601,21463,1
254,N,145404,刘泽,978-7-115-45404-1,202106,28.80,0.8,统计学基础（第2版）,李育民,c6306805-d90c-47ae-b70a-0905802c429d,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-45404-1/72jpg/45404_s300.jpg,36,20170502,21457,1
255,N,150211,洑建红 姬忠莉,978-7-115-50211-7,202108,36.80,0.8,统计学基础及应用（附微课视频 第3版）,李育民,ce9f4035-bda9-4ac6-98db-3bc86ad9be4f,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-50211-7/72jpg/50211_s300.jpg,46,20190107,21403,1
256,N,149320,邵贵平,978-7-115-49320-0,202105,39.84,0.8,电子商务数据分析与应用,刘琦,67369d1f-d4e6-440a-863a-a2249c8aaa92,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-49320-0/72jpg/49320.jpg,49.8,20181126,21349,1
